Version,Band,Grade,Subsidiary,Base Salary
Budget Version 1,1,G_01,GO Americas,20884.62
Budget Version 1,1,G_01,GO Central Europe,20884.62
Budget Version 1,1,G_01,GO Northern Europe,20884.62
Budget Version 1,1,G_01,GO Southern Europe,20884.62
Budget Version 1,1,G_01,GO Accessories GmbH,20884.62
Budget Version 1,1,G_01,GO Asia Pacific,20884.62
Budget Version 1,1,G_02,GO Americas,21369.23
Budget Version 1,1,G_02,GO Central Europe,21369.23
Budget Version 1,1,G_02,GO Northern Europe,21369.23
Budget Version 1,1,G_02,GO Southern Europe,21369.23
Budget Version 1,1,G_02,GO Accessories GmbH,21369.23
Budget Version 1,1,G_02,GO Asia Pacific,21369.23
Budget Version 1,1,G_03,GO Americas,21438.46
Budget Version 1,1,G_03,GO Central Europe,21438.46
Budget Version 1,1,G_03,GO Northern Europe,21438.46
Budget Version 1,1,G_03,GO Southern Europe,21438.46
Budget Version 1,1,G_03,GO Accessories GmbH,21438.46
Budget Version 1,1,G_03,GO Asia Pacific,21438.46
Budget Version 1,1,G_04,GO Americas,23000
Budget Version 1,1,G_04,GO Central Europe,23000
Budget Version 1,1,G_04,GO Northern Europe,23000
Budget Version 1,1,G_04,GO Southern Europe,23000
Budget Version 1,1,G_04,GO Accessories GmbH,23000
Budget Version 1,1,G_04,GO Asia Pacific,23000
Budget Version 1,1,G_05,GO Americas,23106
Budget Version 1,1,G_05,GO Central Europe,23106
Budget Version 1,1,G_05,GO Northern Europe,23106
Budget Version 1,1,G_05,GO Southern Europe,23106
Budget Version 1,1,G_05,GO Accessories GmbH,23106
Budget Version 1,1,G_05,GO Asia Pacific,23106
Budget Version 1,1,G_06,GO Americas,23538.46
Budget Version 1,1,G_06,GO Central Europe,23538.46
Budget Version 1,1,G_06,GO Northern Europe,23538.46
Budget Version 1,1,G_06,GO Southern Europe,23538.46
Budget Version 1,1,G_06,GO Accessories GmbH,23538.46
Budget Version 1,1,G_06,GO Asia Pacific,23538.46
Budget Version 1,1,G_07,GO Americas,23615.38
Budget Version 1,1,G_07,GO Central Europe,23615.38
Budget Version 1,1,G_07,GO Northern Europe,23615.38
Budget Version 1,1,G_07,GO Southern Europe,23615.38
Budget Version 1,1,G_07,GO Accessories GmbH,23615.38
Budget Version 1,1,G_07,GO Asia Pacific,23615.38
Budget Version 1,1,G_08,GO Americas,25384.62
Budget Version 1,1,G_08,GO Central Europe,25384.62
Budget Version 1,1,G_08,GO Northern Europe,25384.62
Budget Version 1,1,G_08,GO Southern Europe,25384.62
Budget Version 1,1,G_08,GO Accessories GmbH,25384.62
Budget Version 1,1,G_08,GO Asia Pacific,25384.62
Budget Version 1,1,G_09,GO Americas,25447.69
Budget Version 1,1,G_09,GO Central Europe,25447.69
Budget Version 1,1,G_09,GO Northern Europe,25447.69
Budget Version 1,1,G_09,GO Southern Europe,25447.69
Budget Version 1,1,G_09,GO Accessories GmbH,25447.69
Budget Version 1,1,G_09,GO Asia Pacific,25447.69
Budget Version 1,1,G_10,GO Americas,27000
Budget Version 1,1,G_10,GO Central Europe,27000
Budget Version 1,1,G_10,GO Northern Europe,27000
Budget Version 1,1,G_10,GO Southern Europe,27000
Budget Version 1,1,G_10,GO Accessories GmbH,27000
Budget Version 1,1,G_10,GO Asia Pacific,27000
Budget Version 1,1,G_11,GO Americas,26884.62
Budget Version 1,1,G_11,GO Central Europe,26884.62
Budget Version 1,1,G_11,GO Northern Europe,26884.62
Budget Version 1,1,G_11,GO Southern Europe,26884.62
Budget Version 1,1,G_11,GO Accessories GmbH,26884.62
Budget Version 1,1,G_11,GO Asia Pacific,26884.62
Budget Version 1,1,G_12,GO Americas,27230.77
Budget Version 1,1,G_12,GO Central Europe,27230.77
Budget Version 1,1,G_12,GO Northern Europe,27230.77
Budget Version 1,1,G_12,GO Southern Europe,27230.77
Budget Version 1,1,G_12,GO Accessories GmbH,27230.77
Budget Version 1,1,G_12,GO Asia Pacific,27230.77
Budget Version 1,1,G_13,GO Americas,27969.23
Budget Version 1,1,G_13,GO Central Europe,27969.23
Budget Version 1,1,G_13,GO Northern Europe,27969.23
Budget Version 1,1,G_13,GO Southern Europe,27969.23
Budget Version 1,1,G_13,GO Accessories GmbH,27969.23
Budget Version 1,1,G_13,GO Asia Pacific,27969.23
Budget Version 1,1,G_14,GO Americas,27484.62
Budget Version 1,1,G_14,GO Central Europe,27484.62
Budget Version 1,1,G_14,GO Northern Europe,27484.62
Budget Version 1,1,G_14,GO Southern Europe,27484.62
Budget Version 1,1,G_14,GO Accessories GmbH,27484.62
Budget Version 1,1,G_14,GO Asia Pacific,27484.62
Budget Version 1,1,G_15,GO Americas,30115.38
Budget Version 1,1,G_15,GO Central Europe,30115.38
Budget Version 1,1,G_15,GO Northern Europe,30115.38
Budget Version 1,1,G_15,GO Southern Europe,30115.38
Budget Version 1,1,G_15,GO Accessories GmbH,30115.38
Budget Version 1,1,G_15,GO Asia Pacific,30115.38
Budget Version 1,1,G_16,GO Americas,29615.38
Budget Version 1,1,G_16,GO Central Europe,29615.38
Budget Version 1,1,G_16,GO Northern Europe,29615.38
Budget Version 1,1,G_16,GO Southern Europe,29615.38
Budget Version 1,1,G_16,GO Accessories GmbH,29615.38
Budget Version 1,1,G_16,GO Asia Pacific,29615.38
Budget Version 1,1,G_17,GO Americas,30000
Budget Version 1,1,G_17,GO Central Europe,30000
Budget Version 1,1,G_17,GO Northern Europe,30000
Budget Version 1,1,G_17,GO Southern Europe,30000
Budget Version 1,1,G_17,GO Accessories GmbH,30000
Budget Version 1,1,G_17,GO Asia Pacific,30000
Budget Version 1,1,G_18,GO Americas,30538.46
Budget Version 1,1,G_18,GO Central Europe,30538.46
Budget Version 1,1,G_18,GO Northern Europe,30538.46
Budget Version 1,1,G_18,GO Southern Europe,30538.46
Budget Version 1,1,G_18,GO Accessories GmbH,30538.46
Budget Version 1,1,G_18,GO Asia Pacific,30538.46
Budget Version 1,1,G_19,GO Americas,32192.31
Budget Version 1,1,G_19,GO Central Europe,32192.31
Budget Version 1,1,G_19,GO Northern Europe,32192.31
Budget Version 1,1,G_19,GO Southern Europe,32192.31
Budget Version 1,1,G_19,GO Accessories GmbH,32192.31
Budget Version 1,1,G_19,GO Asia Pacific,32192.31
Budget Version 1,1,G_20,GO Americas,33230.77
Budget Version 1,1,G_20,GO Central Europe,33230.77
Budget Version 1,1,G_20,GO Northern Europe,33230.77
Budget Version 1,1,G_20,GO Southern Europe,33230.77
Budget Version 1,1,G_20,GO Accessories GmbH,33230.77
Budget Version 1,1,G_20,GO Asia Pacific,33230.77
Budget Version 1,1,G_21,GO Americas,33461.54
Budget Version 1,1,G_21,GO Central Europe,33461.54
Budget Version 1,1,G_21,GO Northern Europe,33461.54
Budget Version 1,1,G_21,GO Southern Europe,33461.54
Budget Version 1,1,G_21,GO Accessories GmbH,33461.54
Budget Version 1,1,G_21,GO Asia Pacific,33461.54
Budget Version 1,1,G_22,GO Americas,34269.23
Budget Version 1,1,G_22,GO Central Europe,34269.23
Budget Version 1,1,G_22,GO Northern Europe,34269.23
Budget Version 1,1,G_22,GO Southern Europe,34269.23
Budget Version 1,1,G_22,GO Accessories GmbH,34269.23
Budget Version 1,1,G_22,GO Asia Pacific,34269.23
Budget Version 1,1,G_23,GO Americas,35461.54
Budget Version 1,1,G_23,GO Central Europe,35461.54
Budget Version 1,1,G_23,GO Northern Europe,35461.54
Budget Version 1,1,G_23,GO Southern Europe,35461.54
Budget Version 1,1,G_23,GO Accessories GmbH,35461.54
Budget Version 1,1,G_23,GO Asia Pacific,35461.54
Budget Version 1,1,G_24,GO Americas,36615.38
Budget Version 1,1,G_24,GO Central Europe,36615.38
Budget Version 1,1,G_24,GO Northern Europe,36615.38
Budget Version 1,1,G_24,GO Southern Europe,36615.38
Budget Version 1,1,G_24,GO Accessories GmbH,36615.38
Budget Version 1,1,G_24,GO Asia Pacific,36615.38
Budget Version 1,1,G_25,GO Americas,36115.38
