Versions,Subsidiaries,Month,Pension Plan %,Social Security %,Health Insurance %,Workers Compensation
Budget version 1,GO Americas,Jan,0.93,0.53,0.28,30149.22
Budget version 1,GO Central Europe,Jan,0.75,0.47,0.2,24660.25
Budget version 1,GO Northern Europe,Jan,0.73,0.45,0.2,27006.99
Budget version 1,GO Southern Europe,Jan,0.66,0.4,0.18,21679.38
Budget version 1,GO Asia Pacific,Jan,0.96,0.41,0.21,22191.1
Budget version 1,GO Accessories GmbH,Jan,0.75,0.46,0.2,26505.14
Budget version 1,GO Americas,Feb,0.93,0.53,0.28,30149.22
Budget version 1,GO Central Europe,Feb,0.75,0.47,0.2,24660.25
Budget version 1,GO Northern Europe,Feb,0.73,0.45,0.2,27006.99
Budget version 1,GO Southern Europe,Feb,0.66,0.4,0.18,21679.38
Budget version 1,GO Asia Pacific,Feb,0.96,0.41,0.21,22191.1
Budget version 1,GO Accessories GmbH,Feb,0.75,0.46,0.2,26505.14
Budget version 1,GO Americas,Mar,0.93,0.53,0.28,30149.22
Budget version 1,GO Central Europe,Mar,0.75,0.47,0.2,24660.25
Budget version 1,GO Northern Europe,Mar,0.73,0.45,0.2,27006.99
Budget version 1,GO Southern Europe,Mar,0.66,0.4,0.18,21679.38
Budget version 1,GO Asia Pacific,Mar,0.96,0.41,0.21,22191.1
Budget version 1,GO Accessories GmbH,Mar,0.75,0.46,0.2,26505.14
Budget version 1,GO Americas,Apr,0.93,0.53,0.28,30149.22
Budget version 1,GO Central Europe,Apr,0.75,0.47,0.2,24660.25
Budget version 1,GO Northern Europe,Apr,0.73,0.45,0.2,27006.99
Budget version 1,GO Southern Europe,Apr,0.66,0.4,0.18,21679.38
Budget version 1,GO Asia Pacific,Apr,0.96,0.41,0.21,22191.1
Budget version 1,GO Accessories GmbH,Apr,0.75,0.46,0.2,26505.14
Budget version 1,GO Americas,May,0.93,0.53,0.28,30149.22
Budget version 1,GO Central Europe,May,0.75,0.47,0.2,24660.25
Budget version 1,GO Northern Europe,May,0.73,0.45,0.2,27006.99
Budget version 1,GO Southern Europe,May,0.66,0.4,0.18,21679.38
Budget version 1,GO Asia Pacific,May,0.96,0.41,0.21,22191.1
Budget version 1,GO Accessories GmbH,May,0.75,0.46,0.2,26505.14
Budget version 1,GO Americas,Jun,0.93,0.53,0.28,30149.22
Budget version 1,GO Central Europe,Jun,0.75,0.47,0.2,24660.25
Budget version 1,GO Northern Europe,Jun,0.73,0.45,0.2,27006.99
Budget version 1,GO Southern Europe,Jun,0.66,0.4,0.18,21679.38
Budget version 1,GO Asia Pacific,Jun,0.96,0.41,0.21,22191.1
Budget version 1,GO Accessories GmbH,Jun,0.75,0.46,0.2,26505.14
Budget version 1,GO Americas,Jul,0.93,0.53,0.28,30149.22
Budget version 1,GO Central Europe,Jul,0.75,0.47,0.2,24660.25
Budget version 1,GO Northern Europe,Jul,0.73,0.45,0.2,27006.99
Budget version 1,GO Southern Europe,Jul,0.66,0.4,0.18,21679.38
Budget version 1,GO Asia Pacific,Jul,0.96,0.41,0.21,22191.1
Budget version 1,GO Accessories GmbH,Jul,0.75,0.46,0.2,26505.14
Budget version 1,GO Americas,Aug,0.93,0.53,0.28,30149.22
Budget version 1,GO Central Europe,Aug,0.75,0.47,0.2,24660.25
Budget version 1,GO Northern Europe,Aug,0.73,0.45,0.2,27006.99
Budget version 1,GO Southern Europe,Aug,0.66,0.4,0.18,21679.38
Budget version 1,GO Asia Pacific,Aug,0.96,0.41,0.21,22191.1
Budget version 1,GO Accessories GmbH,Aug,0.75,0.46,0.2,26505.14
Budget version 1,GO Americas,Sep,0.93,0.53,0.28,30149.22
Budget version 1,GO Central Europe,Sep,0.75,0.47,0.2,24660.25
Budget version 1,GO Northern Europe,Sep,0.73,0.45,0.2,27006.99
Budget version 1,GO Southern Europe,Sep,0.66,0.4,0.18,21679.38
Budget version 1,GO Asia Pacific,Sep,0.96,0.41,0.21,22191.1
Budget version 1,GO Accessories GmbH,Sep,0.75,0.46,0.2,26505.14
Budget version 1,GO Americas,Oct,0.93,0.53,0.28,30149.22
Budget version 1,GO Central Europe,Oct,0.75,0.47,0.2,24660.25
Budget version 1,GO Northern Europe,Oct,0.73,0.45,0.2,27006.99
Budget version 1,GO Southern Europe,Oct,0.66,0.4,0.18,21679.38
Budget version 1,GO Asia Pacific,Oct,0.96,0.41,0.21,22191.1
Budget version 1,GO Accessories GmbH,Oct,0.75,0.46,0.2,26505.14
Budget version 1,GO Americas,Nov,0.93,0.53,0.28,30149.22
Budget version 1,GO Central Europe,Nov,0.75,0.47,0.2,24660.25
Budget version 1,GO Northern Europe,Nov,0.73,0.45,0.2,27006.99
Budget version 1,GO Southern Europe,Nov,0.66,0.4,0.18,21679.38
Budget version 1,GO Asia Pacific,Nov,0.96,0.41,0.21,22191.1
Budget version 1,GO Accessories GmbH,Nov,0.75,0.46,0.2,26505.14
Budget version 1,GO Americas,Dec,0.93,0.53,0.28,30149.22
Budget version 1,GO Central Europe,Dec,0.75,0.47,0.2,24660.25
Budget version 1,GO Northern Europe,Dec,0.73,0.45,0.2,27006.99
Budget version 1,GO Southern Europe,Dec,0.66,0.4,0.18,21679.38
Budget version 1,GO Asia Pacific,Dec,0.96,0.41,0.21,22191.1
Budget version 1,GO Accessories GmbH,Dec,0.75,0.46,0.2,26505.14
