Subsidiary,Versions,Commission,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
GO Americas,Budget version 1,Commission%,1.305525077,1.228448156,1.326075312,1.299245057,1.270079146,1.220289262,1.207225336,1.202830774,1.206813743,1.20733458,1.210185072,1.205840612
GO Americas,Budget version 2,Commission%,1.436077585,1.351292972,1.458682844,1.429169562,1.397087061,1.342318188,1.327947869,1.323113851,1.327495118,1.328068038,1.331203579,1.326424673
GO Central Europe,Budget version 1,Commission%,1.649154351,1.523350769,1.618627465,1.586631645,1.545913318,1.481494353,1.462278565,1.455074192,1.463517968,1.462711553,1.466226173,1.464953144
GO Central Europe,Budget version 2,Commission%,1.814069787,1.675685846,1.780490212,1.74529481,1.70050465,1.629643788,1.608506421,1.600581611,1.609869765,1.608982708,1.612848791,1.611448458
GO Northern Europe,Budget version 1,Commission%,1.568747398,1.562637251,1.6348923,1.646768044,1.639049841,1.590844885,1.575027036,1.575215902,1.575941559,1.588170012,1.590518804,1.568985313
GO Northern Europe,Budget version 2,Commission%,1.725622138,1.718900976,1.79838153,1.811444849,1.802954825,1.749929373,1.73252974,1.732737492,1.733535715,1.746987013,1.749570684,1.725883844
GO Southern Europe,Budget version 1,Commission%,1.453862843,1.391657939,1.457711455,1.467928709,1.466106148,1.417698392,1.400362572,1.393334853,1.404527438,1.409069731,1.411265852,1.398724254
GO Southern Europe,Budget version 2,Commission%,1.599249127,1.530823733,1.603482601,1.61472158,1.612716763,1.559468232,1.54039883,1.532668338,1.544980181,1.549976704,1.552392438,1.53859668
GO Asia Pacific,Budget version 1,Commission%,1.108690607,1.019623408,1.113712522,1.084718561,1.034977495,0.964198909,0.950769273,0.941544088,0.945497768,0.941685881,0.949293549,0.95326925
GO Asia Pacific,Budget version 2,Commission%,1.219559668,1.121585749,1.225083774,1.193190417,1.138475244,1.0606188,1.0458462,1.035698497,1.040047545,1.035854469,1.044222904,1.048596175
GO Accessories GmbH,Budget version 1,Commission%,0.808359659,0.775368298,0.811768367,0.817493074,0.81649487,0.793958757,0.784339029,0.780190249,0.786067164,0.788191628,0.789229596,0.782809085
GO Accessories GmbH,Budget version 2,Commission%,0.848777642,0.814136713,0.852356785,0.858367727,0.857319614,0.833656695,0.82355598,0.819199761,0.825370522,0.82760121,0.828691076,0.82194954
