Asset types,Subsidiaries,Versions,Depreciation,Month,Value
Buildings,GO Americas,Budget version 1,Depreciation on Existing Items,Jan,240685.89
Buildings on leased land,GO Americas,Budget version 1,Depreciation on Existing Items,Jan,211280.33
Fixed assets: automotive,GO Americas,Budget version 1,Depreciation on Existing Items,Jan,278895.16
Fixed assets: computer hardware,GO Americas,Budget version 1,Depreciation on Existing Items,Jan,64461.71
Fixed assets: computer software,GO Americas,Budget version 1,Depreciation on Existing Items,Jan,72439.23
Fixed assets: equipment,GO Americas,Budget version 1,Depreciation on Existing Items,Jan,384042.31
Fixed assets: fixtures,GO Americas,Budget version 1,Depreciation on Existing Items,Jan,630593.19
Fixed assets: furniture,GO Americas,Budget version 1,Depreciation on Existing Items,Jan,68838.86
Fixed assets: manufacturing assets,GO Americas,Budget version 1,Depreciation on Existing Items,Jan,225891.54
Fixed assets: other fixed assets,GO Americas,Budget version 1,Depreciation on Existing Items,Jan,142759.31
Leasehold improvements,GO Americas,Budget version 1,Depreciation on Existing Items,Jan,879441.39
Buildings,GO Americas,Budget version 2,Depreciation on Existing Items,Jan,249109.9
Buildings on leased land,GO Americas,Budget version 2,Depreciation on Existing Items,Jan,218675.14
Fixed assets: automotive,GO Americas,Budget version 2,Depreciation on Existing Items,Jan,288656.49
Fixed assets: computer hardware,GO Americas,Budget version 2,Depreciation on Existing Items,Jan,66717.87
Fixed assets: computer software,GO Americas,Budget version 2,Depreciation on Existing Items,Jan,74974.6
Fixed assets: equipment,GO Americas,Budget version 2,Depreciation on Existing Items,Jan,397483.79
Fixed assets: fixtures,GO Americas,Budget version 2,Depreciation on Existing Items,Jan,652663.95
Fixed assets: furniture,GO Americas,Budget version 2,Depreciation on Existing Items,Jan,71248.22
Fixed assets: manufacturing assets,GO Americas,Budget version 2,Depreciation on Existing Items,Jan,233797.74
Fixed assets: other fixed assets,GO Americas,Budget version 2,Depreciation on Existing Items,Jan,147755.89
Leasehold improvements,GO Americas,Budget version 2,Depreciation on Existing Items,Jan,910221.84
Buildings,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Jan,131901.71
Buildings on leased land,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Jan,213413.83
Fixed assets: automotive,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Jan,141441.74
Fixed assets: computer hardware,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Jan,66266.07
Fixed assets: computer software,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Jan,69254.38
Fixed assets: equipment,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Jan,273858.23
Fixed assets: fixtures,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Jan,591959.01
Fixed assets: furniture,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Jan,136783.66
