Product Type,Version,Channel,Month,Unit cost,Unit sale price
Binoculars,Budget version 1,Golf Shop,Jan,84.25,115.48
Binoculars,Budget version 2,Golf Shop,Jan,79.48,118.94
Climbing Accessories,Budget version 1,Golf Shop,Jan,21.1,32
Climbing Accessories,Budget version 2,Golf Shop,Jan,19.91,32.96
Cooking Gear,Budget version 1,Golf Shop,Jan,29.87,40.31
Cooking Gear,Budget version 2,Golf Shop,Jan,28.18,41.52
Eyewear,Budget version 1,Golf Shop,Jan,69.55,99.74
Eyewear,Budget version 2,Golf Shop,Jan,65.61,102.73
First Aid,Budget version 1,Golf Shop,Jan,8.02,11.41
First Aid,Budget version 2,Golf Shop,Jan,7.56,11.75
Golf Accessories,Budget version 1,Golf Shop,Jan,28.37,60.68
Golf Accessories,Budget version 2,Golf Shop,Jan,26.76,62.5
Insect Repellents,Budget version 1,Golf Shop,Jan,2.3,6.07
Insect Repellents,Budget version 2,Golf Shop,Jan,2.17,6.25
Irons,Budget version 1,Golf Shop,Jan,345.95,598.9
Irons,Budget version 2,Golf Shop,Jan,326.37,616.87
Knives,Budget version 1,Golf Shop,Jan,35.06,49.18
Knives,Budget version 2,Golf Shop,Jan,33.08,50.65
Lanterns,Budget version 1,Golf Shop,Jan,21.14,29.12
Lanterns,Budget version 2,Golf Shop,Jan,19.94,29.99
Navigation,Budget version 1,Golf Shop,Jan,93.33,133.24
Navigation,Budget version 2,Golf Shop,Jan,88.05,137.24
Packs,Budget version 1,Golf Shop,Jan,126.51,175.37
Packs,Budget version 2,Golf Shop,Jan,119.35,180.63
Putters,Budget version 1,Golf Shop,Jan,62.55,116.07
Putters,Budget version 2,Golf Shop,Jan,59.01,119.55
Rope,Budget version 1,Golf Shop,Jan,220,293.57
Rope,Budget version 2,Golf Shop,Jan,207.55,302.37
Safety,Budget version 1,Golf Shop,Jan,48.68,72.44
Safety,Budget version 2,Golf Shop,Jan,45.92,74.61
Sleeping Bags,Budget version 1,Golf Shop,Jan,78.01,103.83
Sleeping Bags,Budget version 2,Golf Shop,Jan,73.59,106.94
Sunscreen,Budget version 1,Golf Shop,Jan,2.28,4.81
Sunscreen,Budget version 2,Golf Shop,Jan,2.15,4.96
Tents,Budget version 1,Golf Shop,Jan,385.04,453.41
Tents,Budget version 2,Golf Shop,Jan,363.25,467.01
Tools,Budget version 1,Golf Shop,Jan,38.14,56.07
Tools,Budget version 2,Golf Shop,Jan,35.98,57.75
Watches,Budget version 1,Golf Shop,Jan,55.35,96.74
Watches,Budget version 2,Golf Shop,Jan,52.21,99.64
Woods,Budget version 1,Golf Shop,Jan,550.1,948.91
Woods,Budget version 2,Golf Shop,Jan,518.96,977.38
Binoculars,Budget version 1,Department Store,Jan,88.4625,121.254
Binoculars,Budget version 2,Department Store,Jan,83.454,124.887
Climbing Accessories,Budget version 1,Department Store,Jan,22.155,33.6
Climbing Accessories,Budget version 2,Department Store,Jan,20.9055,34.608
Cooking Gear,Budget version 1,Department Store,Jan,31.3635,42.3255
Cooking Gear,Budget version 2,Department Store,Jan,29.589,43.596
Eyewear,Budget version 1,Department Store,Jan,73.0275,104.727
Eyewear,Budget version 2,Department Store,Jan,68.8905,107.8665
First Aid,Budget version 1,Department Store,Jan,8.421,11.9805
First Aid,Budget version 2,Department Store,Jan,7.938,12.3375
Golf Accessories,Budget version 1,Department Store,Jan,29.7885,63.714
Golf Accessories,Budget version 2,Department Store,Jan,28.098,65.625
Insect Repellents,Budget version 1,Department Store,Jan,2.415,6.3735
Insect Repellents,Budget version 2,Department Store,Jan,2.2785,6.5625
Irons,Budget version 1,Department Store,Jan,363.2475,628.845
Irons,Budget version 2,Department Store,Jan,342.6885,647.7135
Knives,Budget version 1,Department Store,Jan,36.813,51.639
Knives,Budget version 2,Department Store,Jan,34.734,53.1825
Lanterns,Budget version 1,Department Store,Jan,22.197,30.576
Lanterns,Budget version 2,Department Store,Jan,20.937,31.4895
Navigation,Budget version 1,Department Store,Jan,97.9965,139.902
Navigation,Budget version 2,Department Store,Jan,92.4525,144.102
Packs,Budget version 1,Department Store,Jan,132.8355,184.1385
Packs,Budget version 2,Department Store,Jan,125.3175,189.6615
Putters,Budget version 1,Department Store,Jan,65.6775,121.8735
Putters,Budget version 2,Department Store,Jan,61.9605,125.5275
Rope,Budget version 1,Department Store,Jan,231,308.2485
Rope,Budget version 2,Department Store,Jan,217.9275,317.4885
Safety,Budget version 1,Department Store,Jan,51.114,76.062
Safety,Budget version 2,Department Store,Jan,48.216,78.3405
Sleeping Bags,Budget version 1,Department Store,Jan,81.9105,109.0215
Sleeping Bags,Budget version 2,Department Store,Jan,77.2695,112.287
Sunscreen,Budget version 1,Department Store,Jan,2.394,5.0505
Sunscreen,Budget version 2,Department Store,Jan,2.2575,5.208
Tents,Budget version 1,Department Store,Jan,404.292,476.0805
Tents,Budget version 2,Department Store,Jan,381.4125,490.3605
Tools,Budget version 1,Department Store,Jan,40.047,58.8735
Tools,Budget version 2,Department Store,Jan,37.779,60.6375
Watches,Budget version 1,Department Store,Jan,58.1175,101.577
Watches,Budget version 2,Department Store,Jan,54.8205,104.622
Woods,Budget version 1,Department Store,Jan,577.605,996.3555
Woods,Budget version 2,Department Store,Jan,544.908,1026.249
Binoculars,Budget version 1,Direct Marketing,Jan,87.62,120.0992
Binoculars,Budget version 2,Direct Marketing,Jan,82.6592,123.6976
Climbing Accessories,Budget version 1,Direct Marketing,Jan,21.944,33.28
Climbing Accessories,Budget version 2,Direct Marketing,Jan,20.7064,34.2784
Cooking Gear,Budget version 1,Direct Marketing,Jan,31.0648,41.9224
Cooking Gear,Budget version 2,Direct Marketing,Jan,29.3072,43.1808
Eyewear,Budget version 1,Direct Marketing,Jan,72.332,103.7296
Eyewear,Budget version 2,Direct Marketing,Jan,68.2344,106.8392
First Aid,Budget version 1,Direct Marketing,Jan,8.3408,11.8664
First Aid,Budget version 2,Direct Marketing,Jan,7.8624,12.22
Golf Accessories,Budget version 1,Direct Marketing,Jan,29.5048,63.1072
Golf Accessories,Budget version 2,Direct Marketing,Jan,27.8304,65
Insect Repellents,Budget version 1,Direct Marketing,Jan,2.392,6.3128
Insect Repellents,Budget version 2,Direct Marketing,Jan,2.2568,6.5
Irons,Budget version 1,Direct Marketing,Jan,359.788,622.856
Irons,Budget version 2,Direct Marketing,Jan,339.4248,641.5448
Knives,Budget version 1,Direct Marketing,Jan,36.4624,51.1472
Knives,Budget version 2,Direct Marketing,Jan,34.4032,52.676
Lanterns,Budget version 1,Direct Marketing,Jan,21.9856,30.2848
Lanterns,Budget version 2,Direct Marketing,Jan,20.7376,31.1896
Navigation,Budget version 1,Direct Marketing,Jan,97.0632,138.5696
