Subsidiaries,Channel,Product Type,Version,Sales Staff,Order Date,Quantity,Cash Discount,Volume Discount,Freight,Returns and Allowances
GO Americas,Department Store,Binoculars,Budget version 1,"Barros, Viviam",7-Jan,1969,7706.61,5024.12,23961.16,10417.9
GO Americas,Department Store,Binoculars,Budget version 1,"Barros, Viviam",7-Oct,4623,18097.7,11798.14,56268.19,24464.43
GO Americas,Department Store,Binoculars,Budget version 1,"Barros, Viviam",7-Sep,2522,9871.49,6435.37,30691.72,13344.23
GO Americas,Department Store,Binoculars,Budget version 1,"Bretton, Frank",7-Dec,509,1991.57,1298.33,6192.16,2692.24
GO Americas,Department Store,Binoculars,Budget version 1,"Chow, Donald",7-Oct,1792,7013.92,4572.54,21807.33,9481.45
GO Americas,Department Store,Binoculars,Budget version 1,"Orozco, Ana",7-Jun,553,2164.77,1411.26,6730.67,2926.38
GO Americas,Department Store,Binoculars,Budget version 1,"Orozco, Ana",7-Oct,310,1212.29,790.35,3769.14,1638.76
GO Americas,Department Store,Binoculars,Budget version 1,"Pierce, Samantha",7-Jul,575,2251.37,1467.66,6999.87,3043.42
GO Americas,Department Store,Binoculars,Budget version 1,"Rojas, Gabriela",7-Apr,221,865.89,564.5,2692.23,1170.53
GO Americas,Department Store,Binoculars,Budget version 1,"Rojas, Gabriela",7-Nov,575,2251.37,1467.66,6999.87,3043.42
GO Americas,Department Store,Binoculars,Budget version 1,"Rojas, Gabriela",7-Oct,442,1731.89,1129,5384.56,2341.11
GO Americas,Department Store,Binoculars,Budget version 1,"Townsend, Harold",7-Oct,1172,4589.35,2991.84,14268.95,6203.89
GO Americas,Department Store,Binoculars,Budget version 1,"Townsend, Harold",7-Sep,774,3030.66,1975.76,9422.9,4096.91
GO Americas,Department Store,Binoculars,Budget version 1,"Vachon, Martine",7-Jan,398,1558.69,1016.08,4846.05,2106.98
GO Americas,Department Store,Binoculars,Budget version 2,"Barros, Viviam",7-Jan,2057,8294.67,5407.46,25789.16,11212.68
GO Americas,Department Store,Binoculars,Budget version 2,"Barros, Viviam",7-Oct,4811,19398.69,12646.34,60313.39,26223.21
GO Americas,Department Store,Binoculars,Budget version 2,"Barros, Viviam",7-Sep,2632,10613.51,6919.14,32999.06,14347.42
GO Americas,Department Store,Binoculars,Budget version 2,"Bretton, Frank",7-Dec,531,2140.55,1395.44,6655.24,2893.58
GO Americas,Department Store,Binoculars,Budget version 2,"Chow, Donald",7-Oct,1858,7491.93,4884.1,23293.47,10127.6
